a	aː
mjaldri	m j a l t r ɪ
mjalla	m j a t l a
mjallargata	m j a t l a r k a t a
mjallhvít	m j a t l̥ kʰ v i t
mjallhvíti	m j a t l̥ kʰ v i t ɪ
mjaltastúlkan	m j a l̥ t a s t u l̥ k a n
mjaðmagrindarbotns	m j a ð m a k r ɪ n t a r p ɔ h t n̥ s
mjaðmarbrotin	m j a ð m a r p r ɔ t ɪ n
mjaðmaviðgerð	m j a ð m a v ɪ ð c ɛ r ð
mjaðmá	m j a ð m au
mjálma	m j au l m a
mjálms	m j au l m s
mjó	m j ouː
mjóa	m j ou a
mjóadalsgreni	m j ou a t a l s k r ɛː n ɪ
mjóadalshryggur	m j ou a t a l s r̥ ɪ k ʏ r
mjóafit	m j ou a f ɪ t
mjóafjarðarheiði	m j ou a f j a r ð a r h eiː ð ɪ
mjóafjörð	m j ou a f j œ r ð
mjóaflá	m j ou a f l auː
mjóagil	m j ou a c ɪ l
mjóanesoddi	m j ou a n ɛ s ɔ t ɪ
mjóanestangi	m j ou a n ɛ s t au ɲ c ɪ
mjóaskarð	m j ou a s k a r ð
mjóasund	m j ou a s ʏ n t
mjóatagl	m j ou a tʰ a k l̥
mjóateigsvík	m j ouː a t ei x s v iː k
mjóatindshnausar	m j ouː a t ɪ n t s n̥ œyː s a r
mjóatunga	m j ouː a t u ŋ k a
mjóavatnsháls	m j ou a v a s h au l s
mjóavatnshæð	m j ou a v a s h aiː ð
mjóavatnshöfði	m j ou a v a s h œ v ð ɪ
mjóavatnslækjarflá	m j ou a v a s t l aiː c a r t l au
mjóbaki	m j ou p a c ɪ
mjódalur	m j ouː t aː l ʏ r
mjódd	m j ou t
mjóddin	m j ou t ɪ n
mjóengisvik	m j ouː ei ɲ c ɪ s v ɪ k
mjóeyri	m j ouː ei r ɪ
mjóhálsdalur	m j ouː h au l s t aː l ʏ r
mjói	m j ouː ɪ
mjóibali	m j ouː ɪ p a l ɪ
mjóigeiri	m j ouː ɪ c ei r ɪ
mjóihnjúkur	m j ouː ɪ n̥ j uː k ʏ r
mjóir	m j ouː ɪ r
mjóirindi	m j ouː ɪ r ɪ n t ɪ
mjóiteigur	m j ouː ɪ tʰ eiː ɣ ʏ r
mjókkar	m j ou h k a r
mjókurafurða	m j ouː k ʏ r aː v ʏ r ð a
mjóleit	m j ouː l ei t
mjólk	m j ou l̥ k
mjólka	m j ou l̥ k a
mjólkandi	m j ou l̥ k a n t ɪ
mjólkin	m j ou l̥ c ɪ n
mjólkina	m j ou l̥ k ɪ n a
mjólkinni	m j ou l̥ c ɪ n ɪ
mjólkur	m j ou l̥ k ʏ r
mjólkurafurðir	m j ou l̥ k ʏ r aː v ʏ r ð ɪ r
mjólkurafurðum	m j ou l̥ k ʏ r aː v ʏ r ð ʏ m
mjólkurdrykkir	m j ou l̥ k ʏ r t r ɪ h c ɪ r
mjólkurduft	m j ou l̥ k ʏ r t ʏ f t
mjólkurfitu	m j ou l̥ k ʏ r f ɪ t ʏ
mjólkurframleiðslu	m j ou l̥ k ʏ r f r a m l ei ð s t l ʏ
mjólkurganga	m j ou l̥ k ʏ r k au ŋ k a
mjólkurinnar	m j ou l̥ k ʏ r ɪ n a r
mjólkurkirtla	m j ou l̥ k ʏ r c ɪ r̥ t l a
mjólkurkirtlanna	m j ou l̥ k ʏ r c ɪ r̥ t l a n a
mjólkurkirtlar	m j ou l̥ k ʏ r c ɪ r̥ t l a r
mjólkurkirtlum	m j ou l̥ k ʏ r c ɪ r̥ t l ʏ m
mjólkurkýrin	m j ou l̥ k ʏ r cʰ iː r ɪ n
mjólkurmatur	m j ou l̥ k ʏ r m a t ʏ r
mjólkurprótín	m j ou l̥ k ʏ r p r ouː t i n
mjólkurpósta	m j ou l̥ k ʏ r p ou s t a
mjólkursamsalan	m j ou l̥ k ʏ r s a m s aː l a n
mjólkursnákar	m j ou l̥ k ʏ r s t n auː k a r
mjólkursopa	m j ou l̥ k ʏ r s ɔː p a
mjólkursopi	m j ou l̥ k ʏ r s ɔː p ɪ
mjólkursykurinn	m j ou l̥ k ʏ r s ɪː k ʏ r ɪ n
mjólkursykuróþol	m j ou l̥ k ʏ r s ɪː k ʏ r ouː θ ɔ l
mjólkursýru	m j ou l̥ k ʏ r s iː r ʏ
mjólkursýrumyndun	m j ou l̥ k ʏ r s iː r ʏ m ɪ n t ʏ n
mjólkurtennurnar	m j ou l̥ k ʏ r t ɛ n ʏ t n a r
mjólkurvara	m j ou l̥ k ʏ r v a r a
mjólkurvörum	m j ou l̥ k ʏ r v œ r ʏ m
mjólkurvörur	m j ou l̥ k ʏ r v œ r ʏ r
mjólkuvörum	m j ou l̥ k ʏ v œ r ʏ m
mjólká	m j ou l̥ k au
mjólkárvirkjun	m j ou l̥ k au r v ɪ r̥ c ʏ n
mjónefurinn	m j ou n ɛː v ʏ r ɪ n
mjónes	m j ou n ɛ s
mjór	m j ouː r
mjórra	m j ou r a
mjórri	m j ou r ɪ
mjósleginn	m j ou s t l ei j ɪ n
mjóslegið	m j ou s t l ei j ɪ ð
mjóslegna	m j ou s t l ei k n a
mjóslegnar	m j ou s t l ei k n a r
mjóstapar	m j ou s t aː p a r
mjósti	m j ou s t ɪ
mjóstræti	m j ou s t r aiː t ɪ
mjóstur	m j ou s t ʏ r
mjósundaholt	m j ou s ʏ n t a h ɔ l̥ t
mjósundalækur	m j ou s ʏ n t a l aiː k ʏ r
mjósundshæð	m j ou s ʏ n t s h aiː ð
mjótt	m j ou h t
mjóu	m j ouː ʏ
mjóuflóð	m j ouː ʏ f l ouː ð
mjóuhryggir	m j ouː ʏ r̥ ɪ c ɪ r
mjóuhryggjahillur	m j ouː ʏ r̥ ɪ c a h ɪ t l ʏ r
mjóurimar	m j ouː ʏ r ɪː m a r
mjóutungugil	m j ouː ʏ t u ŋ k ʏ c ɪ l
mjóvi	m j ouː v ɪ
mjög	m j œː ɣ
mjöl	m j œː l
mjöli	m j œː l ɪ
mjöll	m j œ t l̥
mjölmaurar	m j œ l m œyː r a r
mjölni	m j œ l n ɪ
mjölnir	m j œ l n ɪ r
mjöltum	m j œ l̥ t ʏ m
mjölva	m j œ l v a
mjölvi	m j œ l v ɪ
mjölvuð	m j œ l v ʏ ð
mjöð	m j œː ð
mjöðinn	m j œː ð ɪ n
mjöðm	m j œ ð m
mjöður	m j œ ð ʏ r
mjúk	m j uː k
mjúka	m j uː k a
mjúkan	m j uː k a n
mjúkar	m j uː k a r
mjúkinn	m j uː c ɪ n
mjúkir	m j uː c ɪ r
mjúklega	m j uː k l ɛ ɣ a
mjúkmál	m j uː k m au l
mjúkmáll	m j uː k m au t l̥
mjúkra	m j uː k r a
mjúkraddaður	m j uː k r a t a ð ʏ r
mjúkri	m j uː k r ɪ
mjúkt	m j u x t
mjúku	m j uː k ʏ
mjúkum	m j uː k ʏ m
mjúkur	m j uː k ʏ r
mjúkvefjanna	m j uː k v ɛ v j a n a
mn	m n
mobile	m ɔ p ɪ l ɛː
modernus	m ɔ t ɛ r n ʏ s
modis	m ɔ t ɪ s
mogganum	m ɔ k a n ʏ m
mohamed	m ɔ h a m ɛː t
mohammad	m ɔ a m a t
mohammed	m ɔ a m ɛː t
moka	m ɔː k a
mokað	m ɔː k a ð
mokaði	m ɔː k a ð ɪ
mokkuð	m ɔ h k ʏ ð
mokstur	m ɔː k s t ʏ r
mokuðu	m ɔː k ʏ ð ʏ
mola	m ɔː l a
mold	m ɔ l t
moldabekkur	m ɔ l t a p ɛ h k ʏ r
moldarbarð	m ɔ l t a r p a r ð
moldardalur	m ɔ l t a r t aː l ʏ r
moldarflag	m ɔ l t a r t l a ɣ
moldargötur	m ɔ l t a r k œ t ʏ r
moldarhaug	m ɔ l t a r h œyː ɣ
moldarháls	m ɔ l t a r h au l s
moldarhóll	m ɔ l t a r h ou t l̥
moldarkögglar	m ɔ l t a r k œ k l a r
moldarlyktina	m ɔ l t a r l ɪ x t ɪ n a
moldarstekkur	m ɔ l t a r s t ɛ h k ʏ r
moldartröð	m ɔ l t a r t r œ ð
moldarvatn	m ɔ l t a r v a h t n̥
moldarveggi	m ɔ l t a r v ɛ c ɪ
moldarveggjunum	m ɔ l t a r v ɛ c ɔ n ʏ m
moldarveginn	m ɔ l t a r v ei j ɪ n
moldaráshlíðar	m ɔ l t a r au s l̥ iː ð a r
moldavía	m ɔ l t a v i j a
moldavíu	m ɔ l t a v i j ʏ
moldbakkahraun	m ɔ l t p a h k a r̥ œyː n
moldbrekka	m ɔ l t p r ɛ h k a
moldbrekkubrún	m ɔ l t p r ɛ h k ʏ p r uː n
moldbrekkuklettar	m ɔ l t p r ɛ h k ʏ k l ɛ h t a r
moldbrekkur	m ɔ l t p r ɛ h k ʏ r
moldbrekkutjörn	m ɔ l t p r ɛ h k ʏ t j œ r t n̥
moldbungur	m ɔ l t p u ŋ k ʏ r
molddalahnúkar	m ɔ l t t aː l a n̥ u k a r
moldhillur	m ɔ l t h ɪ t l ʏ r
moldhálsar	m ɔ l t h au l s a r
moldhóll	m ɔ l t h ou t l̥
moldhólsbrekka	m ɔ l t h ou l s p r ɛ h k a
moldi	m ɔ l t ɪ
moldinni	m ɔ l t ɪ n ɪ
moldrani	m ɔ l t r a n ɪ
moldríkur	m ɔ l t r i k ʏ r
moldskurðir	m ɔ l t s k ʏ r ð ɪ r
molduxalautir	m ɔ l t ʏ k s a l œyː t ɪ r
moldvörpur	m ɔ l t v œ r̥ p ʏ r
moldás	m ɔ l t au s
moldóva	m ɔ l t ou a
moldóvu	m ɔ l t ou v ʏ
molinn	m ɔː l ɪ n
moll	m ɔ t l̥
mollulegt	m ɔ t l ʏ l ɛ x t
molnaði	m ɔ l n a ð ɪ
molnun	m ɔ l n ʏ n
molnunin	m ɔ l n ʏ n ɪ n
molotov	m ɔː l ɔː t ɔ v
molotovs	m ɔː l ɔː t ɔ v s
molta	m ɔ l̥ t a
molum	m ɔː l ʏ m
moment	m ɔ m ɛ n̥ t
mona	m ɔ n a
monet	m ɔ n ɛ t
mongóla	m ɔ ŋ k ou l a
mongólar	m ɔ ŋ k ou l a r
mongólska	m ɔ ŋ k ou l s k a
mongólskar	m ɔ ŋ k ou l s k a r
mongólski	m ɔ ŋ k ou l s c ɪ
mongólskur	m ɔ ŋ k ou l s k ʏ r
mongólía	m ɔ ŋ k ou l i j a
mongólíti	m ɔ ŋ k ou l i t ɪ
mongólíu	m ɔ ŋ k ou l i j ʏ
moniku	m ɔ n ɪ k ʏ
monitor	m ɔ n ɪ t ɔ r
monophydont	m ɔ n ɔ p h ɪ t ɔ n̥ t
monosodium	m ɔ n̥ ɔ ɔː t i j ʏ m
monrad	m ɔ n r a t
monroe	m ɔ n r ɔ ɛː
monsieur	m ɔ n s ɪ ɛ ʏ r
monsúnvindar	m ɔ n s u n v ɪ n t a r
mont	m ɔ n̥ t
montagarðs	m ɔ n̥ t a k a r ð s
montague	m ɔ n̥ t a k ʏ ɛ
montaigne	m ɔ n̥ t a ɪ k n ɛ
montana	m ɔ n̥ t a n a
monte	m ɔ n̥ t ɛ
montessori	m ɔ n̥ t ɛ s ɔ r ɪ
montgomery	m ɔ n̥ t k ɔ m ɛ r i
monti	m ɔ n̥ t ɪ
montinn	m ɔ n̥ t ɪ n
montið	m ɔ n̥ t ɪ ð
montmartre	m ɔ n̥ t m a r̥ t r ɛ
montriani	m ɔ n̥ t r ɪː aː n ɪ
montserrat	m ɔ n̥ t s ɛ r a t
moods	m ɔ ɔ s
moon	m ɔ ɔ n
moore	m ɔ ɔː r ɛ
moores	m ɔ ɔː r ɛ s
moppur	m ɔ h p ʏ r
mor	m ɔ r
moragil	m ɔː r a c ɪ l
moran	m ɔː r a n
morandi	m ɔː r a n t ɪ
mordalur	m ɔ r t aː l ʏ r
mordísarhæð	m ɔ r t i s a r h aiː ð
more	m ɔː r ɛ
morfín	m ɔ r̥ f i n
morfíni	m ɔ r̥ f i n ɪ
morfínið	m ɔ r̥ f i n ɪ ð
morgan	m ɔ r k a n
morgans	m ɔ r k a n s
morgenstern	m ɔ r k ɛ n s t ɛ r t n̥
morgna	m ɔ r t n a
morgnana	m ɔ r t n a n a
morgnanna	m ɔ r t n a n a
morgnarnir	m ɔ r t n a t n ɪ r
morgni	m ɔ r t n ɪ
morgninum	m ɔ r t n ɪ n ʏ m
morgun	m ɔ r k ʏ n
morgunbirtunni	m ɔ r k ʏ n p ɪ r̥ t ʏ n ɪ
morgunblaðinu	m ɔ r k ʏ n p l aː ð ɪ n ʏ
morgunblaðið	m ɔ r k ʏ n p l aː ð ɪ ð
morgunblaðsins	m ɔ r k ʏ n p l a ð s ɪ n s
morgunbænin	m ɔ r k ʏ n p ai n ɪ n
morgunbænina	m ɔ r k ʏ n p ai n ɪ n a
morgundaginn	m ɔ r k ʏ n t ai j ɪ n
morgundagsins	m ɔ r k ʏ n t a x s ɪ n s
morgundagurinn	m ɔ r k ʏ n t a ɣ ʏ r ɪ n
morgunfrú	m ɔ r k ʏ n f r u
morguninn	m ɔ r k ʏ n ɪ n
morgunkaffi	m ɔ r k ʏ n k a f ɪ
morgunkorninu	m ɔ r k ʏ n k ɔ t n ɪ n ʏ
morgunljóst	m ɔ r k ʏ n l j ou s t
morgunmat	m ɔ r k ʏ n m a t
morgunmatar	m ɔ r k ʏ n m a t a r
morgunmatinn	m ɔ r k ʏ n m a t ɪ n
morgunmatnum	m ɔ r k ʏ n m a h t n ʏ m
morgunmatur	m ɔ r k ʏ n m a t ʏ r
morgunmaturinn	m ɔ r k ʏ n m a t ʏ r ɪ n
morgunn	m ɔ r k ʏ n
morgunninn	m ɔ r k ʏ n ɪ n
morguns	m ɔ r k ʏ n s
morgunsins	m ɔ r k ʏ n s ɪ n s
morgunskammtinum	m ɔ r k ʏ n s k a m̥ t ɪ n ʏ m
morgunstund	m ɔ r k ʏ n s t ʏ n t
morgunsvefn	m ɔ r k ʏ n s v ɛ p n̥
morgunsárið	m ɔ r k ʏ n s auː r ɪ ð
morgunverk	m ɔ r k ʏ n v ɛ r̥ k
morgunverkin	m ɔ r k ʏ n v ɛ r̥ c ɪ n
morgunverkum	m ɔ r k ʏ n v ɛ r̥ k ʏ m
morgunverð	m ɔ r k ʏ n v ɛ r ð
morgunverði	m ɔ r k ʏ n v ɛ r ð ɪ
morgunverðinn	m ɔ r k ʏ n v ɛ r ð ɪ n
morgunverðinum	m ɔ r k ʏ n v ɛ r ð ɪ n ʏ m
morgunverður	m ɔ r k ʏ n v ɛ r ð ʏ r
morinsheiðarkambar	m ɔː r ɪ n s h eiː ð a r k a m p a r
morinsheiði	m ɔː r ɪ n s h eiː ð ɪ
morison	m ɔ r ɪ s ɔ n
moritz	m ɔ r ɪ t s
morkinskinna	m ɔ r̥ c ɪ n s c ɪ n a
morkinskinnu	m ɔ r̥ c ɪ n s c ɪ n ʏ
morkíll	m ɔ r̥ c i t l̥
mormónarnir	m ɔ r m ouː n a t n ɪ r
morn	m ɔ t n̥
morpollur	m ɔ r̥ p ɔ t l ʏ r
morris	m ɔ r ɪ s
mors	m ɔ r̥ s
morsaskúti	m ɔ r̥ s a s k u t ɪ
morse	m ɔ r̥ s ɛ
morsekóðinn	m ɔ r̥ s ɛː k ou ð ɪ n
morskora	m ɔ r̥ s k ɔː r a
morsá	m ɔ r̥ s au
morsáraurar	m ɔ r̥ s au r œyː r a r
morubíldutjörn	m ɔː r ʏ p i l t ʏ t j œ r t n̥
moría	m ɔ r i j a
morð	m ɔ r ð
morða	m ɔ r ð a
morðfaraldurs	m ɔ r ð f aː r a l t ʏ r̥ s
morðhótun	m ɔ r ð h ouː t ʏ n
morði	m ɔ r ð ɪ
morðin	m ɔ r ð ɪ n
morðingi	m ɔ r ð i ɲ c ɪ
morðinginn	m ɔ r ð i ɲ c ɪ n
morðingja	m ɔ r ð i ɲ c a
morðingjann	m ɔ r ð i ɲ c a n
morðingjans	m ɔ r ð i ɲ c a n s
morðingjanum	m ɔ r ð i ɲ c a n ʏ m
morðingjar	m ɔ r ð i ɲ c a r
morðingjarnir	m ɔ r ð i ɲ c a t n ɪ r
morðingjum	m ɔ r ð i ɲ c ʏ m
morðinu	m ɔ r ð ɪ n ʏ
morðið	m ɔ r ð ɪ ð
morðmál	m ɔ r ð m au l
morðmálum	m ɔ r ð m au l ʏ m
morðrannsókn	m ɔ r ð r a n s ou h k n̥
morðrannsóknardeildin	m ɔ r ð r a n s ou h k n a r t ei l t ɪ n
morðrannsóknum	m ɔ r ð r a n s ou h k n ʏ m
morðs	m ɔ r ð s
morðum	m ɔ r ð ʏ m
morðvarga	m ɔ r ð v a r k a
morðvopnið	m ɔ r ð v ɔ h p n ɪ ð
mosa	m ɔː s a
mosabotnar	m ɔː s a p ɔ h t n a r
mosabreiðunni	m ɔː s a p r eiː ð ʏ n ɪ
mosabólshamrar	m ɔː s a p ou l s h a m r a r
mosadalur	m ɔː s a t aː l ʏ r
mosadrekans	m ɔː s a t r ɛː k a n s
mosadreki	m ɔː s a t r ɛː c ɪ
mosadæla	m ɔː s a t ai l a
mosadýr	m ɔː s a t iː r
mosafit	m ɔː s a f ɪ t
mosagrænu	m ɔː s a k r ai n ʏ
mosahryggir	m ɔː s a r̥ ɪ c ɪ r
mosahryggjardrag	m ɔː s a r̥ ɪ c a r t r a ɣ
mosaháls	m ɔː s a h au l s
mosakot	m ɔː s a k ɔː t
mosakotstún	m ɔː s a k ɔ t s t u n
mosalág	m ɔː s a l auː
mosalækur	m ɔː s a l aiː k ʏ r
mosar	m ɔː s a r
mosaskyggnistún	m ɔː s a s c ɪ k n ɪ s t u n
mosaskál	m ɔː s a s k auː l
mosateigi	m ɔː s a t ei j ɪ
mosateigsrimi	m ɔː s a t ei x s r ɪ m ɪ
mosatunga	m ɔː s a t u ŋ k a
mosatætlum	m ɔː s a t ai h t l ʏ m
mosavatn	m ɔː s a v a h t n̥
mosavaxinn	m ɔː s a v a k s ɪ n
mosaveg	m ɔː s a v ɛː ɣ
mosavegi	m ɔː s a v eiː j ɪ
mosdalsá	m ɔː s t a l s auː
mosdalur	m ɔː s t aː l ʏ r
mosfell	m ɔː s f ɛ t l̥
mosfellsbringur	m ɔː s f ɛ l s p r i ŋ k ʏ r
mosfellsbæ	m ɔː s f ɛ l s p aiː
mosfellsbæjar	m ɔː s f ɛ l s p ai j a r
mosfellskirkja	m ɔː s f ɛ l s c ɪ r̥ c a
mosfellssel	m ɔː s f ɛ l s ɛː l
mosfellssveit	m ɔː s f ɛ l s v ei t
mosgil	m ɔː s c ɪ l
moshjallabrekkur	m ɔː s ç a t l a p r ɛ h k ʏ r
moshlíðarhnjúkur	m ɔː s l̥ iː ð a r n̥ j uː k ʏ r
moshvoll	m ɔː s kʰ v ɔ t l̥
moshólmi	m ɔː s h ou l m ɪ
moshólsbringur	m ɔː s h ou l s p r i ŋ k ʏ r
moshús	m ɔː s h uː s
mosi	m ɔː s ɪ
moskanna	m ɔ s k a n a
moskollur	m ɔ s k ɔ t l ʏ r
mosku	m ɔ s k ʏ
moskuna	m ɔ s k ʏ n a
moskunnar	m ɔ s k ʏ n a r
moskur	m ɔ s k ʏ r
moskusantilópur	m ɔ s k ʏ s a n̥ t ɪ l ouː p ʏ r
moskuslykt	m ɔ s k ʏ s t l ɪ x t
moskussvín	m ɔ s k ʏ s v iː n
moskva	m ɔ s k v a
moskvu	m ɔ s k v ʏ
moskítófluga	m ɔ s c iː t ou f l ʏ ɣ a
moskítóflugan	m ɔ s c iː t ou f l ʏː ɣ a n
moskítóflugna	m ɔ s c iː t ou p l ʏ k n a
moskítóflugum	m ɔ s c iː t ou f l ʏ ɣ ʏ m
moskítóflugur	m ɔ s c iː t ou f l ʏ ɣ ʏ r
moskítólaust	m ɔ s c iː t ou l œy s t
mosley	m ɔ s t l ei
mostrarskegg	m ɔ s t r a r s c ɛ k
mostri	m ɔ s t r ɪ
mosum	m ɔː s ʏ m
mosvallafjall	m ɔ s v a t l̥ a f j a t l̥
motors	m ɔ t ɔ r̥ s
motta	m ɔ h t a
mottunni	m ɔ h t ʏ n ɪ
mottur	m ɔ h t ʏ r
moturinn	m ɔ t ʏ r ɪ n
mount	m ɔ ʏ n̥ t
mountain	m ɔ ʏ n̥ t a ɪ n
movie	m ɔ v ɪ ɛ
moða	m ɔː ð a
mrna	m t n a
msg	m s k
mubla	m ʏ p l a
mublu	m ʏ p l ʏ
muga	m ʏː ɣ a
mugabe	m ʏː ɣ a p ɛ
muggi	m ʏ c ɪ
muggur	m ʏ k ʏ r
muhammad	m ʏ h a m a t
muldar	m ʏ l t a r
muldra	m ʏ l t r a
muldrar	m ʏ l t r a r
muldraði	m ʏ l t r a ð ɪ
mulið	m ʏː l ɪ ð
multuberjablöð	m ʏ l̥ t ʏ p ɛ r j a p l œː ð
mummi	m ʏ m ɪ
mummy	m ʏ m i
mun	m ʏː n
muna	m ʏː n a
munar	m ʏː n a r
munað	m ʏː n a ð
munaðarlaus	m ʏː n a ð a l œyː s
munaðarlausa	m ʏː n a ð a l œyː s a
munaðarleysingi	m ʏː n a ð a r l eiː s i ɲ c ɪ
munaðarleysinginn	m ʏː n a ð a r l eiː s i ɲ c ɪ n
munaðarleysingjahæli	m ʏː n a ð a r l eiː s i ɲ c a h aiː l ɪ
munaðarleysingjann	m ʏː n a ð a r l eiː s i ɲ c a n
munaðarnesi	m ʏː n a ð a r n ɛ s ɪ
munaðarnesland	m ʏː n a ð a r n ɛ s t l a n t
munaðarvara	m ʏː n a ð a r v a r a
munaðarvörur	m ʏː n a ð a v œː r ʏ r
munaði	m ʏː n a ð ɪ
mund	m ʏ n t
munda	m ʏ n t a
mundal	m ʏ n t a l
mundar	m ʏ n t a r
mundaði	m ʏ n t a ð ɪ
mundhólslágar	m ʏ n t h ou l s t l auː a r
mundi	m ʏ n t ɪ
mundir	m ʏ n t ɪ r
mundirðu	m ʏ n t ɪ r ʏ
mundu	m ʏ n t ʏ
mundum	m ʏ n t ʏ m
munduð	m ʏ n t ʏ ð
mungát	m u ŋ k au t
muni	m ʏː n ɪ
munin	m ʏː n ɪ n
muninn	m ʏː n ɪ n
muninum	m ʏː n ɪ n ʏ m
munir	m ʏː n ɪ r
munirnir	m ʏː n ɪ t n ɪ r
munið	m ʏː n ɪ ð
munk	m u ŋ̊ k
munka	m u ŋ̊ k a
munkaklaustur	m u ŋ̊ k a k l œy s t ʏ r
munkar	m u ŋ̊ k a r
munkarnir	m u ŋ̊ k a t n ɪ r
munkaþverá	m u ŋ̊ k a θ v ɛː r au
munkaþverárkirkja	m u ŋ̊ k a θ v ɛː r au r c ɪ r̥ c a
munkaþverárstræti	m u ŋ̊ k a θ v ɛː r au r s t r aiː t ɪ
munkinum	m u ɲ̊ c ɪ n ʏ m
munklífi	m u ŋ̊ k l i v ɪ
munkselum	m u ŋ̊ s ɛː l ʏ m
munksgaaard	m u ŋ̊ k s k a a a r t
munkur	m u ŋ̊ k ʏ r
munn	m ʏ n
munnangur	m ʏ n au ŋ k ʏ r
munnangurs	m ʏ n au ŋ k ʏ r̥ s
munnann	m ʏ n a n
munnbakteríur	m ʏ n p a x t ɛ r i j ʏ r
munnbita	m ʏ n p ɪ t a
munnharpan	m ʏ n h a r̥ p a n
munnhol	m ʏ n h ɔ l
munnhörpu	m ʏ n h œ r̥ p ʏ
munni	m ʏ n ɪ
munninn	m ʏ n ɪ n
munninum	m ʏ n ɪ n ʏ m
munnkörfu	m ʏ n k œ r v ʏ
munnlega	m ʏ n l ɛ ɣ a
munnlegar	m ʏ n l ɛ ɣ a r
munnlegi	m ʏ n l ei j ɪ
munnlegir	m ʏ n l ei j ɪ r
munnlegrar	m ʏ n l ɛ ɣ r a r
munnlegri	m ʏ n l ɛ ɣ r ɪ
munnlimi	m ʏ n l ɪ m ɪ
munnmæla	m ʏ n m ai l a
munnmælanna	m ʏ n m ai l a n a
munnmælasaga	m ʏ n m ai l a s aː ɣ a
munnmælasögur	m ʏ n m ai l a s œː ɣ ʏ r
munnmæli	m ʏ n m ai l ɪ
munnmælin	m ʏ n m ai l ɪ n
munnmælum	m ʏ n m ai l ʏ m
munnmök	m ʏ n m œ k
munns	m ʏ n s
munnstykki	m ʏ n s t ɪ h c ɪ
munnstykkið	m ʏ n s t ɪ h c ɪ ð
munnsára	m ʏ n s auː r a
munntóbak	m ʏ n t ou p a k
munntóbaki	m ʏ n t ou p a c ɪ
munntóbaks	m ʏ n t ou p a k s
munnurinn	m ʏ n ʏ r ɪ n
munnvatn	m ʏ n v a h t n̥
munnvatni	m ʏ n v a h t n ɪ
munnvatnið	m ʏ n v a h t n ɪ ð
munnvatns	m ʏ n v a s
munnvatnsins	m ʏ n v a s ɪ n s
munnvatnskirtla	m ʏ n v a s c ɪ r̥ t l a
munnvatnskirtlarnir	m ʏ n v a s c ɪ r̥ t l a t n ɪ r
munnvatnskirtli	m ʏ n v a s c ɪ r̥ t l ɪ
munnvatnskirtlum	m ʏ n v a s c ɪ r̥ t l ʏ m
munnvatnskirtlunum	m ʏ n v a s c ɪ r̥ t l ɔ n ʏ m
munnvikinu	m ʏ n v ɪ c ɪ n ʏ
munnvikið	m ʏ n v ɪ c ɪ ð
munnvikunum	m ʏ n v ɪ k ɔ n ʏ m
munnvitanum	m ʏ n v ɪ t a n ʏ m
munstri	m ʏ n s t r ɪ
munt	m ʏ n̥ t
muntu	m ʏ n̥ t ʏ
munu	m ʏː n ʏ
munum	m ʏː n ʏ m
mununum	m ʏ n ɔ n ʏ m
munur	m ʏː n ʏ r
munurinn	m ʏː n ʏ r ɪ n
munuð	m ʏː n ʏ ð
mura	m ʏː r a
murder	m ʏ r t ɛ r
murneyrarodddi	m ʏ t n ei r a r ɔ t ɪ
murnmýrar	m ʏ r t n̥ m i r a r
murnuháls	m ʏ t n ʏ h au l s
murphy	m ʏ r p h i
murphys	m ʏ r p h ɪː s
murr	m ʏ r
murrutáarhóll	m ʏ r ʏː t au a r h ou t l̥
murta	m ʏ r̥ t a
murudalir	m ʏː r ʏ t aː l ɪ r
museum	m ʏ s ɛ ʏ m
mussa	m ʏ s a
musset	m ʏ s ɛ t
mussolini	m ʏ s ɔ l̥ ɪː n ɪ
mustafar	m ʏ s t a v a r
mustanseriya	m ʏ s t a n s ɛ r i ɪː a
mustarðskornin	m ʏ s t a r ð s k ɔ r t n ɪ n
mustelidae	m ʏ s t ɛ l̥ ɪ t a ɛ
musteri	m ʏ s t ɛ r ɪ
musterinu	m ʏ s t ɛ r ɪ n ʏ
musterisriddara	m ʏ s t ɛ r ɪ s r ɪ t a r a
musterisriddaranna	m ʏ s t ɛ r ɪ s r ɪ t a r a n a
musterisriddarar	m ʏ s t ɛ r ɪ s r ɪ t a r a r
musterisriddararnir	m ʏ s t ɛ r ɪ s r ɪ t a r a t n ɪ r
my	m ɪ
mygla	m ɪ k l a
mygludalir	m ɪ k l ʏ t aː l ɪ r
mygluholu	m ɪ k l ʏ h ɔː l ʏ
mygluholunni	m ɪ k l ʏ h ɔː l ʏ n ɪ
myglusveppir	m ɪ k l ʏ s v ɛ h p ɪ r
myglusveppirnir	m ɪ k l ʏ s v ɛ h p ɪ t n ɪ r
myglusveppum	m ɪ k l ʏ s v ɛ h p ʏ m
mykjunes	m ɪ c ʏ n ɛ s
mylja	m ɪ l j a
myllu	m ɪ l ʏ
myllubarð	m ɪ l ʏ p a r ð
mylluflötur	m ɪ l ʏ f l œ t ʏ r
myllugata	m ɪ l ʏ k a t a
myllugrund	m ɪ l ʏ k r ʏ n t
mylluhvammur	m ɪ l ʏ kʰ v a m ʏ r
mylluhólmar	m ɪ l ʏ h ou l m a r
mylluklöpp	m ɪ l ʏ k l œ h p
myllulind	m ɪ l ʏ l ɪ n t
myllulindir	m ɪ l ʏ l ɪ n t ɪ r
